,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.15180000000000005,2021-08-15 11:49:46.009925,2021-08-15 12:01:25.422091,0 days 00:11:39.412166,0.008619317702715512,Adagrad,2.406177929064634e-10,COMPLETE
1,1,0.013050000000000006,2021-08-15 12:01:25.423002,2021-08-15 12:13:04.098663,0 days 00:11:38.675661,0.000582274612722568,Adagrad,0.00023606505536459074,COMPLETE
2,2,0.01629999999999998,2021-08-15 12:13:04.099639,2021-08-15 12:24:43.279633,0 days 00:11:39.179994,0.005865517479597366,Adagrad,3.6807827800617727e-10,COMPLETE
3,3,0.1341000000000001,2021-08-15 12:24:43.280533,2021-08-15 12:36:37.778081,0 days 00:11:54.497548,1.0825709521330432e-05,Adam,2.4122614039908834e-08,COMPLETE
4,4,0.0006999999999999229,2021-08-15 12:36:37.778991,2021-08-15 12:48:17.155677,0 days 00:11:39.376686,0.002444857400653987,Adagrad,0.00044665910553059714,COMPLETE
5,5,0.75385,2021-08-15 12:48:17.156498,2021-08-15 12:59:56.505575,0 days 00:11:39.349077,0.05219072698478021,Adagrad,2.8653127775993113e-05,COMPLETE
6,6,0.18530000000000013,2021-08-15 12:59:56.506498,2021-08-15 13:11:36.675409,0 days 00:11:40.168911,0.000288602157795303,Adagrad,0.0005232655031496225,COMPLETE
7,7,0.70465,2021-08-15 13:11:36.676354,2021-08-15 13:23:13.976366,0 days 00:11:37.300012,2.086221494902967e-05,Adagrad,6.2901539292308934e-09,COMPLETE
8,8,0.2266999999999999,2021-08-15 13:23:13.977294,2021-08-15 13:34:52.090926,0 days 00:11:38.113632,0.01049350678384253,Adagrad,2.7205896185105556e-08,COMPLETE
9,9,0.5004000000000001,2021-08-15 13:34:52.091813,2021-08-15 13:46:30.348741,0 days 00:11:38.256928,0.00010070539627501159,Adagrad,2.1930284916315053e-07,COMPLETE
