,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.56135,2021-08-19 05:17:07.475677,2021-08-19 05:21:52.313474,0 days 00:04:44.837797,0.00017916411252256036,Adagrad,3.5144943055730514e-10,COMPLETE
1,1,0.08550000000000002,2021-08-19 05:21:52.314217,2021-08-19 05:26:30.804313,0 days 00:04:38.490096,0.0029910888915706062,Adagrad,8.467072524580579e-09,COMPLETE
2,2,0.1127499999999999,2021-08-19 05:26:30.805306,2021-08-19 05:31:29.548181,0 days 00:04:58.742875,0.0005141645088090923,Adam,1.7701917207578237e-08,COMPLETE
3,3,0.11885000000000012,2021-08-19 05:31:29.548998,2021-08-19 05:36:31.950632,0 days 00:05:02.401634,4.208366144451427e-05,Adam,3.6110442240804534e-07,COMPLETE
4,4,0.35925000000000007,2021-08-19 05:36:31.951434,2021-08-19 05:41:13.344547,0 days 00:04:41.393113,0.0004889707278605964,Adagrad,3.6767631856363944e-09,COMPLETE
5,5,0.7519,2021-08-19 05:41:13.345440,2021-08-19 05:46:11.591422,0 days 00:04:58.245982,0.027055337368773764,Adam,5.884705165787441e-09,COMPLETE
6,6,0.755,2021-08-19 05:46:11.592129,2021-08-19 05:51:01.419037,0 days 00:04:49.826908,0.010185928743831195,Adam,3.0866994848030354e-06,COMPLETE
7,7,0.61495,2021-08-19 05:51:01.419795,2021-08-19 05:55:34.631869,0 days 00:04:33.212074,0.07232758376918431,Adagrad,3.2243089040270065e-07,COMPLETE
8,8,0.08705000000000018,2021-08-19 05:55:34.632613,2021-08-19 06:00:22.358176,0 days 00:04:47.725563,6.389814443557173e-05,Adam,5.371704412260064e-09,COMPLETE
9,9,0.12495000000000012,2021-08-19 06:00:22.359099,2021-08-19 06:04:53.361005,0 days 00:04:31.001906,0.0014884984801886575,Adagrad,3.6123178581375098e-06,COMPLETE
