,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.3286,2021-08-22 10:25:41.563922,2021-08-22 10:27:05.728917,0 days 00:01:24.164995,0.001781589472930753,Adam,1.4522133583796658e-06,COMPLETE
1,1,0.3214,2021-08-22 10:27:05.729791,2021-08-22 10:28:25.657180,0 days 00:01:19.927389,0.011532427701625091,Adagrad,0.0003131101446175474,COMPLETE
2,2,0.31799999999999995,2021-08-22 10:28:25.657881,2021-08-22 10:29:50.305141,0 days 00:01:24.647260,0.001235730916255593,Adam,0.0002649616757211716,COMPLETE
3,3,0.37140000000000006,2021-08-22 10:29:50.305858,2021-08-22 10:31:15.010492,0 days 00:01:24.704634,0.006619492861088365,Adam,1.4851396511964398e-05,COMPLETE
4,4,0.4970000000000001,2021-08-22 10:31:15.011380,2021-08-22 10:32:35.514406,0 days 00:01:20.503026,4.826903650446529e-05,Adagrad,1.2026197086028522e-05,COMPLETE
5,5,0.5876,2021-08-22 10:32:35.515284,2021-08-22 10:33:56.151100,0 days 00:01:20.635816,1.2923127855557052e-05,Adagrad,1.185028095362976e-09,COMPLETE
6,6,0.33240000000000003,2021-08-22 10:33:56.151991,2021-08-22 10:35:17.231671,0 days 00:01:21.079680,0.0018447800605718389,Adagrad,1.258297951705775e-06,COMPLETE
7,7,0.3233999999999999,2021-08-22 10:35:17.232571,2021-08-22 10:36:41.894416,0 days 00:01:24.661845,0.0018984735169016356,Adam,1.7403944782845986e-06,COMPLETE
8,8,0.48,2021-08-22 10:36:41.895204,2021-08-22 10:38:06.451001,0 days 00:01:24.555797,0.051798615290261,Adam,6.438813580804117e-06,COMPLETE
9,9,0.48,2021-08-22 10:38:06.451790,2021-08-22 10:39:26.929745,0 days 00:01:20.477955,0.00010299164109926508,Adagrad,5.603394700412464e-08,COMPLETE
