,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.5613428943937417,2021-08-22 10:10:08.492311,2021-08-22 10:10:29.751525,0 days 00:00:21.259214,7.675533525097252e-05,Adagrad,1.660476784694607e-09,COMPLETE
1,1,0.41336375488917876,2021-08-22 10:10:29.752269,2021-08-22 10:10:52.110588,0 days 00:00:22.358319,0.00023787525218606142,Adam,1.6243042474202013e-10,COMPLETE
2,2,0.2827176589888454,2021-08-22 10:10:52.111453,2021-08-22 10:11:13.275008,0 days 00:00:21.163555,0.022760496922999578,Adagrad,5.048440881350851e-09,COMPLETE
3,3,0.4218383311603653,2021-08-22 10:11:13.275775,2021-08-22 10:11:34.687452,0 days 00:00:21.411677,0.00012756986055681443,Adagrad,9.161266334206837e-07,COMPLETE
4,4,0.2784513979429233,2021-08-22 10:11:34.688317,2021-08-22 10:11:56.853075,0 days 00:00:22.164758,0.003123949630373157,Adam,1.8184524855397038e-09,COMPLETE
5,5,0.4584745762711865,2021-08-22 10:11:56.853784,2021-08-22 10:12:17.997491,0 days 00:00:21.143707,0.00010292381542178542,Adagrad,5.680411333098871e-07,COMPLETE
6,6,0.41336375488917876,2021-08-22 10:12:17.998316,2021-08-22 10:12:40.299216,0 days 00:00:22.300900,0.00024752091165665467,Adam,0.00012363311376000427,COMPLETE
7,7,0.41336375488917876,2021-08-22 10:12:40.300073,2021-08-22 10:13:01.623810,0 days 00:00:21.323737,0.00032519287191412865,Adagrad,1.3986467823138613e-08,COMPLETE
8,8,0.2589091699261191,2021-08-22 10:13:01.624703,2021-08-22 10:13:23.966239,0 days 00:00:22.341536,0.004553376261271364,Adam,8.478398456056119e-10,COMPLETE
9,9,0.4203389830508474,2021-08-22 10:13:23.966939,2021-08-22 10:13:45.290130,0 days 00:00:21.323191,0.06361846724902433,Adagrad,7.882958222176627e-10,COMPLETE
