,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.3187134502923976,2021-08-22 09:58:17.982311,2021-08-22 09:58:21.055977,0 days 00:00:03.073666,0.00010902919227748543,Adam,1.4211590259442325e-07,COMPLETE
1,1,0.16023391812865506,2021-08-22 09:58:21.056824,2021-08-22 09:58:24.170383,0 days 00:00:03.113559,0.006918004252471158,Adam,1.757868843583593e-08,COMPLETE
2,2,0.5821637426900584,2021-08-22 09:58:24.171204,2021-08-22 09:58:27.219369,0 days 00:00:03.048165,1.69532335660449e-05,Adam,1.7757537419939985e-06,COMPLETE
3,3,0.40292397660818724,2021-08-22 09:58:27.220198,2021-08-22 09:58:30.199655,0 days 00:00:02.979457,6.007025699911407e-05,Adam,2.3398154212523374e-08,COMPLETE
4,4,0.7991228070175439,2021-08-22 09:58:30.200440,2021-08-22 09:58:33.037310,0 days 00:00:02.836870,2.4913343890465763e-05,Adagrad,7.253601675650601e-05,COMPLETE
5,5,0.5590643274853802,2021-08-22 09:58:33.037932,2021-08-22 09:58:36.005989,0 days 00:00:02.968057,4.6897367603321496e-05,Adam,1.9252845300078893e-10,COMPLETE
6,6,0.6251461988304093,2021-08-22 09:58:36.006620,2021-08-22 09:58:38.816359,0 days 00:00:02.809739,1.1738649893790196e-05,Adagrad,7.683137242185233e-05,COMPLETE
7,7,0.15994152046783638,2021-08-22 09:58:38.816982,2021-08-22 09:58:41.618804,0 days 00:00:02.801822,0.02364706843247207,Adagrad,4.2179054570086146e-07,COMPLETE
8,8,0.1549707602339181,2021-08-22 09:58:41.619423,2021-08-22 09:58:44.437902,0 days 00:00:02.818479,0.016326288266386737,Adagrad,3.6784948076370187e-07,COMPLETE
9,9,0.16549707602339192,2021-08-22 09:58:44.438593,2021-08-22 09:58:47.467773,0 days 00:00:03.029180,0.007303393172034119,Adam,0.00012236463109808796,COMPLETE
