,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.75,2021-08-14 20:44:14.442427,2021-08-14 20:47:21.753269,0 days 00:03:07.310842,0.0004911400218318471,Adagrad,2.6026020191760224e-07,COMPLETE
1,1,0.33540000000000003,2021-08-14 20:47:21.754140,2021-08-14 20:50:36.688581,0 days 00:03:14.934441,0.0003206878161393483,Adam,6.098955142537737e-06,COMPLETE
2,2,0.22314999999999996,2021-08-14 20:50:36.689407,2021-08-14 20:53:43.473665,0 days 00:03:06.784258,0.016958295571360353,Adagrad,3.83893546013485e-08,COMPLETE
3,3,0.35834999999999995,2021-08-14 20:53:43.474460,2021-08-14 20:56:58.873112,0 days 00:03:15.398652,0.0012868882154382984,Adam,1.0876364285198095e-10,COMPLETE
4,4,0.22310000000000008,2021-08-14 20:56:58.873829,2021-08-14 21:00:06.386910,0 days 00:03:07.513081,0.0150322552685488,Adagrad,2.2675656563376937e-10,COMPLETE
5,5,0.33514999999999995,2021-08-14 21:00:06.387585,2021-08-14 21:03:20.742791,0 days 00:03:14.355206,0.000645654164005998,Adam,0.0001713923401551258,COMPLETE
6,6,0.75,2021-08-14 21:03:20.743553,2021-08-14 21:06:29.056846,0 days 00:03:08.313293,9.680810396639326e-05,Adagrad,7.859662656821124e-06,COMPLETE
7,7,0.2946000000000001,2021-08-14 21:06:29.057521,2021-08-14 21:09:37.076681,0 days 00:03:08.019160,0.004969275393891078,Adagrad,6.441850899436762e-07,COMPLETE
8,8,0.75,2021-08-14 21:09:37.077354,2021-08-14 21:12:43.750304,0 days 00:03:06.672950,0.00011023207311953302,Adagrad,4.915318608291014e-06,COMPLETE
9,9,0.34145000000000014,2021-08-14 21:12:43.750959,2021-08-14 21:15:58.253183,0 days 00:03:14.502224,0.0018732947132474728,Adam,1.94387297306733e-09,COMPLETE
