,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.6625,2021-08-19 04:45:13.764113,2021-08-19 04:48:22.155100,0 days 00:03:08.390987,0.00014095925290184784,Adam,7.397578534529133e-09,COMPLETE
1,1,0.53735,2021-08-19 04:48:22.155779,2021-08-19 04:51:31.326985,0 days 00:03:09.171206,0.011448533338693107,Adam,6.408172583369478e-10,COMPLETE
2,2,0.6691,2021-08-19 04:51:31.327726,2021-08-19 04:54:37.238247,0 days 00:03:05.910521,0.00011957639111531239,Adam,2.4895308817004086e-10,COMPLETE
3,3,0.68155,2021-08-19 04:54:37.238924,2021-08-19 04:57:45.323801,0 days 00:03:08.084877,0.011100101116077392,Adagrad,1.173779286088257e-08,COMPLETE
4,4,0.6862,2021-08-19 04:57:45.324479,2021-08-19 05:01:02.978677,0 days 00:03:17.654198,0.04290628190287886,Adam,8.405303950577711e-08,COMPLETE
5,5,0.7621,2021-08-19 05:01:02.979352,2021-08-19 05:04:19.890433,0 days 00:03:16.911081,1.470679764305937e-05,Adam,6.161484565183242e-09,COMPLETE
6,6,0.72905,2021-08-19 05:04:19.891109,2021-08-19 05:07:27.910467,0 days 00:03:08.019358,0.00024429499645516837,Adagrad,5.70153570632584e-06,COMPLETE
7,7,0.6858500000000001,2021-08-19 05:07:27.911420,2021-08-19 05:10:36.108836,0 days 00:03:08.197416,0.0014429747964074763,Adagrad,3.0983883738031706e-05,COMPLETE
8,8,0.66655,2021-08-19 05:10:36.109692,2021-08-19 05:13:52.431178,0 days 00:03:16.321486,0.03658622903802527,Adam,5.1455019874268527e-08,COMPLETE
9,9,0.6776,2021-08-19 05:13:52.431847,2021-08-19 05:17:07.468272,0 days 00:03:15.036425,9.520709259763628e-05,Adam,4.88554363855985e-10,COMPLETE
