,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.32219999999999993,2021-08-22 10:15:00.770149,2021-08-22 10:16:03.980520,0 days 00:01:03.210371,0.011800591304925293,Adagrad,9.669829723306696e-09,COMPLETE
1,1,0.675,2021-08-22 10:16:03.981278,2021-08-22 10:17:06.947136,0 days 00:01:02.965858,0.000333221659513898,Adagrad,6.611975978942618e-06,COMPLETE
2,2,0.6748000000000001,2021-08-22 10:17:06.947951,2021-08-22 10:18:12.107793,0 days 00:01:05.159842,2.254802593760215e-05,Adam,4.430161193521281e-06,COMPLETE
3,3,0.3196000000000001,2021-08-22 10:18:12.108679,2021-08-22 10:19:15.366089,0 days 00:01:03.257410,0.015175269652084197,Adagrad,0.00043069006157927983,COMPLETE
4,4,0.662,2021-08-22 10:19:15.366832,2021-08-22 10:20:18.961943,0 days 00:01:03.595111,0.0005225799804810693,Adagrad,1.996614852170406e-08,COMPLETE
5,5,0.675,2021-08-22 10:20:18.962783,2021-08-22 10:21:22.566327,0 days 00:01:03.603544,0.00016233605884341312,Adagrad,1.5639340185866198e-06,COMPLETE
6,6,0.33940000000000003,2021-08-22 10:21:22.567165,2021-08-22 10:22:27.640291,0 days 00:01:05.073126,0.021442720429818193,Adam,0.0003626831455416183,COMPLETE
7,7,0.655,2021-08-22 10:22:27.641210,2021-08-22 10:23:32.755554,0 days 00:01:05.114344,3.633151796761896e-05,Adam,0.00028021568222883067,COMPLETE
8,8,0.34340000000000004,2021-08-22 10:23:32.756407,2021-08-22 10:24:38.356300,0 days 00:01:05.599893,0.038972320915731384,Adam,1.825384028451483e-10,COMPLETE
9,9,0.675,2021-08-22 10:24:38.356992,2021-08-22 10:25:41.556730,0 days 00:01:03.199738,8.914595603293609e-05,Adagrad,8.737353471002529e-05,COMPLETE
