,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.41336375488917876,2021-08-22 10:07:46.520484,2021-08-22 10:08:01.002735,0 days 00:00:14.482251,0.0008790871698581789,Adam,0.0004135882745992727,COMPLETE
1,1,0.41336375488917876,2021-08-22 10:08:01.003598,2021-08-22 10:08:14.840781,0 days 00:00:13.837183,0.0005987681562132393,Adagrad,1.222179055025283e-06,COMPLETE
2,2,0.399789946400116,2021-08-22 10:08:14.841675,2021-08-22 10:08:29.156594,0 days 00:00:14.314919,0.0018281540020360044,Adam,3.8748090704948254e-05,COMPLETE
3,3,0.40404172099087354,2021-08-22 10:08:29.157398,2021-08-22 10:08:43.080864,0 days 00:00:13.923466,0.011678867219468151,Adagrad,1.4873013427080057e-09,COMPLETE
4,4,0.36494277850210044,2021-08-22 10:08:43.081715,2021-08-22 10:08:57.547026,0 days 00:00:14.465311,0.003125040299280825,Adam,2.0056993999995235e-07,COMPLETE
5,5,0.3471751412429378,2021-08-22 10:08:57.547840,2021-08-22 10:09:11.504062,0 days 00:00:13.956222,0.052698258563709216,Adagrad,1.6502898602350017e-10,COMPLETE
6,6,0.4090902506156744,2021-08-22 10:09:11.504941,2021-08-22 10:09:25.919876,0 days 00:00:14.414935,0.03834399070813957,Adam,9.55132727296825e-07,COMPLETE
7,7,0.4116688396349414,2021-08-22 10:09:25.920714,2021-08-22 10:09:40.201321,0 days 00:00:14.280607,0.0011769251363135834,Adam,1.010114661567054e-08,COMPLETE
8,8,0.41336375488917876,2021-08-22 10:09:40.202027,2021-08-22 10:09:54.693427,0 days 00:00:14.491400,0.0006510423826169053,Adam,6.530464128718609e-09,COMPLETE
9,9,0.41336375488917876,2021-08-22 10:09:54.694136,2021-08-22 10:10:08.484398,0 days 00:00:13.790262,0.0012007363497306015,Adagrad,9.735734467690756e-05,COMPLETE
