,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.3040935672514621,2021-08-22 09:57:57.535765,2021-08-22 09:58:01.032794,0 days 00:00:03.497029,0.032921900613215614,Adagrad,1.4101547829633218e-06,COMPLETE
1,1,0.3345029239766081,2021-08-22 09:58:01.033630,2021-08-22 09:58:02.911814,0 days 00:00:01.878184,0.001912140444015722,Adagrad,8.230625771835345e-08,COMPLETE
2,2,0.3666666666666666,2021-08-22 09:58:02.912436,2021-08-22 09:58:04.775063,0 days 00:00:01.862627,0.06559534161441019,Adagrad,2.0657998284988788e-05,COMPLETE
3,3,0.3345029239766081,2021-08-22 09:58:04.775690,2021-08-22 09:58:06.637848,0 days 00:00:01.862158,5.785561750645676e-05,Adagrad,1.117660764126913e-06,COMPLETE
4,4,0.31959064327485376,2021-08-22 09:58:06.638520,2021-08-22 09:58:08.502518,0 days 00:00:01.863998,0.02829160376045101,Adagrad,1.7612244528103406e-09,COMPLETE
5,5,0.3345029239766081,2021-08-22 09:58:08.503141,2021-08-22 09:58:10.360907,0 days 00:00:01.857766,0.00022654704486145714,Adagrad,1.6899745541495392e-09,COMPLETE
6,6,0.3345029239766081,2021-08-22 09:58:10.361737,2021-08-22 09:58:12.313628,0 days 00:00:01.951891,1.3195180504357253e-05,Adam,2.821793811442167e-07,COMPLETE
7,7,0.3616959064327485,2021-08-22 09:58:12.314288,2021-08-22 09:58:14.172635,0 days 00:00:01.858347,0.01166048064633414,Adagrad,4.307065537276362e-05,COMPLETE
8,8,0.3345029239766081,2021-08-22 09:58:14.173506,2021-08-22 09:58:16.025436,0 days 00:00:01.851930,2.3212832327985255e-05,Adagrad,4.966511345199067e-09,COMPLETE
9,9,0.3345029239766081,2021-08-22 09:58:16.026249,2021-08-22 09:58:17.973308,0 days 00:00:01.947059,0.001052604265216278,Adam,7.039199802339597e-05,COMPLETE
