model,node,p_s,aggre,adam_lr,ave_acc,std_acc
GCN,100,poisson,mean,0.01,0.36415,0.029483936304367513
GCN,100,poisson,sum,0.01,0.29535,0.0243064291906483
GCN,100,poisson,mean,0.0001,0.32265,0.016043768260605114
GCN,100,poisson,sum,0.0001,0.33035000000000003,0.010365929770165337
DGCNN,100,poisson,None,0.01,0.25015,0.0072940043871662225
DGCNN,100,poisson,None,0.0001,0.9201,0.07780674777935395
GCN,100,2_mean_200,mean,0.01,0.9670500000000001,0.010196690639614411
GCN,100,2_sum_200,sum,0.01,0.87955,0.12039548371928244
GCN,100,2_mean_200,mean,0.0001,0.86115,0.011146860544565897
GCN,100,2_sum_200,sum,0.0001,0.94385,0.0060706259973745584
DGCNN,100,2_sum_200,None,0.01,0.52295,0.3391712288800452
DGCNN,100,2_sum_200,None,0.0001,0.9228499999999998,0.036573248420122606
GCN,100,4_mean_384,mean,0.01,0.9549499999999999,0.03953191748448334
GCN,100,4_sum_384,sum,0.01,0.4814,0.16541762300311294
GCN,100,4_mean_384,mean,0.0001,0.5698,0.04189104916327591
GCN,100,4_sum_384,sum,0.0001,0.806,0.033760183648789584
DGCNN,100,4_sum_384,None,0.01,0.32239999999999996,0.21648923760778502
DGCNN,100,4_sum_384,None,0.0001,0.925,0.0691914011998601
GCN,100,6_mean_564,mean,0.01,0.4102,0.2852663842796764
GCN,100,6_sum_564,sum,0.01,0.25880000000000003,0.01195240561560726
GCN,100,6_mean_564,mean,0.0001,0.7246,0.010887607634370387
GCN,100,6_sum_564,sum,0.0001,0.9031,0.023658824991955953
DGCNN,100,6_sum_564,None,0.01,0.25015,0.0072940043871662225
DGCNN,100,6_sum_564,None,0.0001,0.9782,0.02539015557258364
GCN,100,8_mean_736,mean,0.01,0.25379999999999997,0.005240229002629566
GCN,100,8_sum_736,sum,0.01,0.25085,0.007176524228343417
GCN,100,8_mean_736,mean,0.0001,0.7473500000000001,0.07174365825632255
GCN,100,8_sum_736,sum,0.0001,0.7624,0.01603558542741736
DGCNN,100,8_sum_736,None,0.01,0.25065,0.008080996225713765
DGCNN,100,8_sum_736,None,0.0001,0.9779500000000001,0.02978711969962855
GCN,100,10_mean_900,mean,0.01,0.36155000000000004,0.2414475564175376
GCN,100,10_sum_900,sum,0.01,0.25,0.008438009243891603
GCN,100,10_mean_900,mean,0.0001,0.47275,0.10275778559311212
GCN,100,10_sum_900,sum,0.0001,0.54405,0.07296658481798365
DGCNN,100,10_sum_900,None,0.01,0.25015,0.0072940043871662225
DGCNN,100,10_sum_900,None,0.0001,0.9904,0.013047605144240075
