,model,node,p_s,optimizer,weight_decay,adam_lr,best_acc
0,GCN,100,2_0.04_200,Adam,9.647932725300744e-05,0.0007871828309964399,0.95495
1,DGCNN,100,2_0.04_200,Adam,1.5322041253889305e-08,0.0029739660471101445,0.95285
2,GCN,100,4_0.08_384,Adam,7.705866055387913e-08,0.017121715310957415,0.9415000000000001
3,DGCNN,100,4_0.08_384,Adam,1.0116930330825965e-10,0.00041720680632352644,0.9778499999999999
4,GCN,100,6_0.11_564,Adam,1.3196508023760487e-07,0.004813770459823452,0.9871000000000001
5,DGCNN,100,6_0.11_564,Adam,3.008778264701575e-10,0.00088801241833324,0.9718499999999999
6,GCN,100,8_0.15_736,Adam,2.4721902954024867e-05,0.001066831611448573,0.8576
7,DGCNN,100,8_0.15_736,Adagrad,5.6092470064791226e-06,0.002570668999054031,0.9741000000000002
8,GCN,100,10_0.19_900,Adagrad,2.2675656563376937e-10,0.0150322552685488,0.7768999999999999
9,DGCNN,100,10_0.19_900,Adam,5.008633902941326e-05,0.0001176598794030613,0.9951999999999999
10,GCN,1000,2_0.004_1996,Adam,0.00012589646875331987,0.007425533314594431,1.0
11,DGCNN,1000,2_0.004_1996,Adagrad,3.726181510056078e-05,0.007115543536011509,0.9865
12,GCN,1000,4_0.008_3984,Adam,1.9700507738152107e-09,0.009357772666784869,1.0
13,DGCNN,1000,4_0.008_3984,Adam,0.0006828295314157364,0.001854641034797032,0.9970500000000001
14,GCN,1000,6_0.012_5964,Adagrad,1.104780033331101e-10,0.06729032840366345,1.0
15,DGCNN,1000,6_0.012_5964,Adam,1.5604522284033432e-07,0.0010927689356325363,0.99975
16,GCN,1000,8_0.016_7936,Adagrad,2.245439861079948e-05,0.03939675608838693,1.0
17,DGCNN,1000,8_0.016_7936,Adam,0.0001326711152270286,0.0002927109546728537,1.0
18,GCN,1000,10_0.02_9900,Adam,4.94870190244444e-07,0.0011192087398870967,0.99895
19,DGCNN,1000,10_0.02_9900,Adagrad,0.00044665910553059714,0.002444857400653987,0.9993000000000001
